language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=1.57 s (262.4 files/s 29164.5 lines/s)"
TypeScript,./frontend/src/components/WorkWindow/notebook/CodeCellView.tsx,13,0,157
TypeScript,./mobile/src/components/account/ThemeSettingsCard.tsx,13,0,157
TypeScript,./mobile/src/screens/projects/ProjectsScreen.tsx,21,0,157
TypeScript,./frontend/src/components/Sync/LinkWorkspaceDialog.tsx,14,0,156
TypeScript,./backend/src/controllers/filesController.ts,26,0,154
TypeScript,./frontend/src/features/auth/authSlice.ts,6,0,154
TypeScript,./frontend/src/components/WorkWindow/notebook/CellEditor.tsx,15,0,153
TypeScript,./mobile/src/components/notebook/NotebookEditableCell.tsx,12,0,153
TypeScript,./frontend/src/components/SideBar/FileTree/useFileTreeControllerEffects.ts,18,0,150
TypeScript,./frontend/src/features/sync/syncApply.ts,36,1,150
Kotlin,./mobile/modules/incoming-file-intents/android/src/main/java/expo/modules/incomingfileintents/IncomingFileIntentsModule.kt,26,1,149
TypeScript,./frontend/src/features/run/runUtils.ts,26,0,148
TypeScript,./frontend/src/components/SideBar/Cloud/CloudFolderNode.tsx,8,0,146
TypeScript,./mobile/src/features/session/sessionContext.tsx,30,1,146
TypeScript,./backend/src/controllers/authController.ts,26,0,145
JavaScript,./frontend/electron/terminal/terminalProfileService.js,36,0,143
JavaScript,./frontend/electron/git/gitStatusService.js,36,0,141
TypeScript,./frontend/src/components/WorkWindow/notebook/CellList.tsx,5,0,141
TypeScript,./frontend/src/features/sync/syncSlice.ts,5,0,141
TypeScript,./backend/src/controllers/projectsController.ts,20,0,140
TypeScript,./mobile/src/components/markdown/markdownHtmlDocument.ts,20,0,140
TypeScript,./frontend/src/features/sync/syncPreviewSelection.ts,29,0,139
TypeScript,./frontend/src/layouts/AppShellLayout.tsx,15,0,138
TypeScript,./frontend/src/components/SideBar/Cloud/CloudProjectSection.tsx,10,0,137
TypeScript,./frontend/src/components/SideBar/FileTree/fileTreeSelectors.ts,20,0,137
TypeScript,./frontend/src/components/SideBar/Cloud/cloudExplorerSelection.ts,29,0,136
TypeScript,./mobile/src/components/notebook/NotebookEditor.tsx,14,0,132
TypeScript,./frontend/src/components/Auth/RegisterForm.tsx,22,1,129
TypeScript,./frontend/src/features/workspace/workspaceSlice.ts,9,0,127
TypeScript,./frontend/src/components/TopBar/TopBarMenuPanels.tsx,5,0,126
TypeScript,./frontend/src/features/sync/syncTypes.ts,12,0,126
TypeScript,./frontend/src/components/SideBar/FileTree/useFileTreeDraftActions.ts,21,0,125
TypeScript,./frontend/src/components/Run/RunTargetPicker.tsx,6,0,123
TypeScript,./frontend/src/features/cloud/cloudTypes.ts,20,0,123
